cluster	ensembl_gene_id	counts	genes_num	genes_names
cl_3197	ENSG00000121858 ENSG00000141510 ENSG00000143384 ENSG00000171791	2	4	MCL1
cl_3197	ENSG00000121858 ENSG00000141510 ENSG00000143384 ENSG00000171791	2	4	BCL2
cl_3198	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000198793	2	4	PTGS2
cl_3198	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000198793	2	4	ERBB2
cl_3198	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000198793	2	4	EGFR
cl_3198	ENSG00000073756 ENSG00000141736 ENSG00000146648 ENSG00000198793	2	4	MTOR
cl_3199	ENSG00000073756 ENSG00000141736 ENSG00000197122	2	3	PTGS2
cl_3199	ENSG00000073756 ENSG00000141736 ENSG00000197122	2	3	ERBB2
cl_3199	ENSG00000073756 ENSG00000141736 ENSG00000197122	2	3	SRC
cl_3200	ENSG00000121858 ENSG00000142208 ENSG00000143384	2	3	TNFSF10
cl_3200	ENSG00000121858 ENSG00000142208 ENSG00000143384	2	3	AKT1
cl_3200	ENSG00000121858 ENSG00000142208 ENSG00000143384	2	3	MCL1
cl_3201	ENSG00000073756 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	4	PTGS2
cl_3201	ENSG00000073756 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	4	AKT1
cl_3201	ENSG00000073756 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	4	PARP1
cl_3201	ENSG00000073756 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	4	BCL2
cl_3202	ENSG00000121858 ENSG00000141736 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	5	TNFSF10
cl_3202	ENSG00000121858 ENSG00000141736 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	5	ERBB2
cl_3202	ENSG00000121858 ENSG00000141736 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	5	AKT1
cl_3202	ENSG00000121858 ENSG00000141736 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	5	PARP1
cl_3202	ENSG00000121858 ENSG00000141736 ENSG00000142208 ENSG00000143799 ENSG00000171791	2	5	BCL2
cl_3203	ENSG00000073756 ENSG00000142208 ENSG00000145675	2	3	PTGS2
cl_3203	ENSG00000073756 ENSG00000142208 ENSG00000145675	2	3	AKT1
cl_3203	ENSG00000073756 ENSG00000142208 ENSG00000145675	2	3	PIK3R1
cl_3204	ENSG00000121858 ENSG00000141736 ENSG00000142208	2	3	TNFSF10
cl_3204	ENSG00000121858 ENSG00000141736 ENSG00000142208	2	3	ERBB2
cl_3204	ENSG00000121858 ENSG00000141736 ENSG00000142208	2	3	AKT1
cl_3205	ENSG00000073756 ENSG00000142208 ENSG00000146648 ENSG00000171791	2	4	PTGS2
cl_3205	ENSG00000073756 ENSG00000142208 ENSG00000146648 ENSG00000171791	2	4	AKT1
cl_3205	ENSG00000073756 ENSG00000142208 ENSG00000146648 ENSG00000171791	2	4	EGFR
cl_3205	ENSG00000073756 ENSG00000142208 ENSG00000146648 ENSG00000171791	2	4	BCL2
cl_3206	ENSG00000121858 ENSG00000141510 ENSG00000143799	2	3	TNFSF10
cl_3206	ENSG00000121858 ENSG00000141510 ENSG00000143799	2	3	TP53
cl_3206	ENSG00000121858 ENSG00000141510 ENSG00000143799	2	3	PARP1
cl_3207	ENSG00000073756 ENSG00000142208 ENSG00000168610 ENSG00000198793	2	4	PTGS2
cl_3207	ENSG00000073756 ENSG00000142208 ENSG00000168610 ENSG00000198793	2	4	AKT1
cl_3207	ENSG00000073756 ENSG00000142208 ENSG00000168610 ENSG00000198793	2	4	STAT3
cl_3207	ENSG00000073756 ENSG00000142208 ENSG00000168610 ENSG00000198793	2	4	MTOR
cl_3208	ENSG00000121858 ENSG00000141510 ENSG00000142208 ENSG00000171791	2	4	TNFSF10
cl_3208	ENSG00000121858 ENSG00000141510 ENSG00000142208 ENSG00000171791	2	4	TP53
cl_3208	ENSG00000121858 ENSG00000141510 ENSG00000142208 ENSG00000171791	2	4	AKT1
cl_3208	ENSG00000121858 ENSG00000141510 ENSG00000142208 ENSG00000171791	2	4	BCL2
cl_3209	ENSG00000073756 ENSG00000136997 ENSG00000171791	2	3	PTGS2
cl_3209	ENSG00000073756 ENSG00000136997 ENSG00000171791	2	3	MYC
cl_3209	ENSG00000073756 ENSG00000136997 ENSG00000171791	2	3	BCL2
